"Panel_Name","SYMBOL","TERM","Major_Functional_Class"
"Granzyme B","GZMB","apoptotic process","Tissue destruction"
"Granzyme B","GZMB","negative regulation of translation","Resolution"
"Granzyme B","GZMB","killing of cells of another organism","Tissue destruction"
"Granzyme B","GZMB","natural killer cell mediated cytotoxicity","Tissue destruction"
"Granzyme B","GZMB","proteolysis involved in protein catabolic process","Tissue destruction"
"Granzyme B","GZMB","protein maturation","Tissue destruction"
"Granzyme B","GZMB","pyroptotic inflammatory response","Tissue destruction"
"Granzyme B","GZMB","granzyme-mediated programmed cell death signaling pathway","Tissue destruction"
"Granzyme B","GZMB","positive regulation of establishment of protein localization to mitochondrion","Tissue destruction"
"HSP70","HSPA1A","negative regulation of transcription by RNA polymerase II","Resolution"
"HSP70","HSPA1A","negative regulation of cell population proliferation","Immune cell amplification"
"HSP70","HSPA1A","negative regulation of cell growth","Resolution"
"HSP70","HSPA1A","negative regulation of transforming growth factor beta receptor signaling pathway","Resolution"
"HSP70","HSPA1A","negative regulation of protein ubiquitination","Resolution"
"HSP70","HSPA1A","negative regulation of apoptotic process","Tissue destruction"
"HSP70","HSPA1A","negative regulation of inclusion body assembly","Resolution"
"HSP70","HSPA1A","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","Tissue destruction"
"HSP70","HSPA1A","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","Tissue destruction"
"HSP70","HSPA1A","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"MMP-8","MMP8","proteolysis","Tissue destruction"
"MMP-8","MMP8","extracellular matrix organization","Tissue construction / repair"
"MMP-8","MMP8","positive regulation of microglial cell activation","Immune cell activation"
"Eotaxin-2","CCL24","positive regulation of endothelial cell proliferation","Immune cell amplification"
"Eotaxin-2","CCL24","chemotaxis","Immune cell positioning"
"Eotaxin-2","CCL24","positive regulation of cell migration","Immune cell positioning"
"Eotaxin-2","CCL24","eosinophil chemotaxis","Immune cell positioning"
"Eotaxin-2","CCL24","positive regulation of eosinophil migration","Immune cell positioning"
"BCA-1","CXCL13","lymphocyte chemotaxis across high endothelial venule","Immune cell positioning"
"BCA-1","CXCL13","positive regulation of T cell chemotaxis","Immune cell positioning"
"BCA-1","CXCL13","neutrophil chemotaxis","Immune cell positioning"
"BCA-1","CXCL13","positive regulation of integrin activation","Immune cell activation"
"BCA-1","CXCL13","B cell chemotaxis","Immune cell positioning"
"BCA-1","CXCL13","endothelial cell chemotaxis to fibroblast growth factor","Immune cell positioning"
"BCA-1","CXCL13","activation of GTPase activity","Immune cell activation"
"BCA-1","CXCL13","negative regulation of endothelial cell chemotaxis to fibroblast growth factor","Immune cell positioning"
"MCP-4","CCL13","chemotaxis","Immune cell positioning"
"MCP-4","CCL13","positive regulation of cell migration","Immune cell positioning"
"MCP-4","CCL13","eosinophil chemotaxis","Immune cell positioning"
"I-309","CCL1","chemotaxis","Immune cell positioning"
"I-309","CCL1","positive regulation of cell migration","Immune cell positioning"
"I-309","CCL1","eosinophil chemotaxis","Immune cell positioning"
"I-309","CCL1","positive regulation of monocyte chemotaxis","Immune cell positioning"
"IL-16","IL16","leukocyte chemotaxis","Immune cell positioning"
"IL-16","IL16","induction of positive chemotaxis","Immune cell positioning"
"IL-16","IL16","positive regulation of neutrophil activation","Immune cell activation"
"6CKine","CCL21","dendritic cell chemotaxis","Immune cell positioning"
"6CKine","CCL21","positive regulation of T cell chemotaxis","Immune cell positioning"
"6CKine","CCL21","positive regulation of cell migration","Immune cell positioning"
"6CKine","CCL21","eosinophil chemotaxis","Immune cell positioning"
"6CKine","CCL21","positive regulation of chemotaxis","Immune cell positioning"
"6CKine","CCL21","cell chemotaxis","Immune cell positioning"
"6CKine","CCL21","positive regulation of neutrophil chemotaxis","Immune cell positioning"
"6CKine","CCL21","negative regulation of leukocyte tethering or rolling","Resolution"
"6CKine","CCL21","positive regulation of T cell migration","Immune cell positioning"
"6CKine","CCL21","positive regulation of myeloid dendritic cell chemotaxis","Immune cell positioning"
"6CKine","CCL21","negative regulation of dendritic cell dendrite assembly","Resolution"
"6CKine","CCL21","negative regulation of dendritic cell apoptotic process","Tissue destruction"
"LIF","LIF","positive regulation of cell population proliferation","Immune cell amplification"
"LIF","LIF","negative regulation of cell population proliferation","Immune cell amplification"
"LIF","LIF","negative regulation of meiotic nuclear division","Resolution"
"LIF","LIF","negative regulation of hormone secretion","Resolution"
"LIF","LIF","fibroblast proliferation","Immune cell amplification"
"LIF","LIF","positive regulation of fibroblast proliferation","Immune cell amplification"
"LIF","LIF","negative regulation of ERK1 and ERK2 cascade","Resolution"
"LIF","LIF","positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis","Tissue construction / repair"
"LIF","LIF","regulation of metanephric nephron tubule epithelial cell differentiation","Tissue construction / repair"
"SCF","KITLG","neural crest cell migration","Immune cell positioning"
"SCF","KITLG","positive regulation of leukocyte migration","Immune cell positioning"
"SCF","KITLG","positive regulation of cell population proliferation","Immune cell amplification"
"SCF","KITLG","mast cell apoptotic process","Tissue destruction"
"SCF","KITLG","negative regulation of mast cell apoptotic process","Tissue destruction"
"SCF","KITLG","T cell proliferation","Immune cell amplification"
"SCF","KITLG","positive regulation of T cell proliferation","Immune cell amplification"
"SCF","KITLG","mast cell proliferation","Immune cell amplification"
"SCF","KITLG","positive regulation of mast cell proliferation","Immune cell amplification"
