Element,Direction,Pat,Major_Functional_Class,TERM
Granzyme B,Increase,PatMic1,Tissue destruction,apoptotic process
Granzyme B,Increase,PatMic1,Resolution,negative regulation of translation
Granzyme B,Increase,PatMic1,Tissue destruction,granzyme-mediated programmed cell death signaling pathway
SCF,Increase,PatMic1,Immune cell positioning,neural crest cell migration
SCF,Increase,PatMic1,Immune cell positioning,positive regulation of leukocyte migration
SCF,Increase,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
SCF,Increase,PatMic1,Tissue destruction,mast cell apoptotic process
SCF,Increase,PatMic1,Resolution,negative regulation of mast cell apoptotic process
SCF,Increase,PatMic1,Tissue destruction,ectopic germ cell programmed cell death
SCF,Increase,PatMic1,Immune cell amplification,T cell proliferation
SCF,Increase,PatMic1,Immune cell amplification,positive regulation of T cell proliferation
SCF,Increase,PatMic1,Immune cell amplification,mast cell proliferation
SCF,Increase,PatMic1,Immune cell amplification,positive regulation of mast cell proliferation
SCF,Increase,PatMic1,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
SCF,Increase,PatMic1,Immune cell positioning,melanocyte migration
SCF,Increase,PatMic1,Immune cell positioning,mast cell migration
SCF,Increase,PatMic1,Immune cell amplification,positive regulation of hematopoietic stem cell proliferation
TRAIL,Decrease,PatMic1,Tissue destruction,apoptotic process
TRAIL,Decrease,PatMic1,Tissue destruction,TRAIL-activated apoptotic signaling pathway
TRAIL,Decrease,PatMic1,Tissue destruction,positive regulation of apoptotic process
TRAIL,Decrease,PatMic1,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
ENA-78,Decrease,PatMic1,Immune cell positioning,chemotaxis
ENA-78,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
ENA-78,Decrease,PatMic1,Immune cell positioning,neutrophil chemotaxis
EGF,Decrease,PatMic1,Tissue construction / repair,angiogenesis
EGF,Decrease,PatMic1,Immune cell amplification,positive regulation of endothelial cell proliferation
EGF,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
EGF,Decrease,PatMic1,Immune cell positioning,positive regulation of endothelial cell migration
EGF,Decrease,PatMic1,Immune cell amplification,cerebellar granule cell precursor proliferation
EGF,Decrease,PatMic1,Immune cell amplification,positive regulation of cerebellar granule cell precursor proliferation
EGF,Decrease,PatMic1,Immune cell positioning,positive regulation of cell migration
EGF,Decrease,PatMic1,Immune cell activation,regulation of receptor signaling pathway via JAK-STAT
EGF,Decrease,PatMic1,Tissue construction / repair,branching morphogenesis of an epithelial tube
EGF,Decrease,PatMic1,Immune cell amplification,epithelial cell proliferation
EGF,Decrease,PatMic1,Resolution,negative regulation of secretion
EGF,Decrease,PatMic1,Resolution,negative regulation of cholesterol efflux
EGF,Decrease,PatMic1,Tissue construction / repair,positive regulation of epithelial tube formation
Eotaxin,Decrease,PatMic1,Immune cell amplification,positive regulation of endothelial cell proliferation
Eotaxin,Decrease,PatMic1,Immune cell positioning,mast cell chemotaxis
Eotaxin,Decrease,PatMic1,Immune cell positioning,chemotaxis
Eotaxin,Decrease,PatMic1,Immune cell positioning,positive regulation of cell migration
Eotaxin,Decrease,PatMic1,Tissue construction / repair,positive regulation of angiogenesis
Eotaxin,Decrease,PatMic1,Immune cell positioning,eosinophil chemotaxis
Eotaxin,Decrease,PatMic1,Resolution,negative regulation of neurogenesis
Flt-3L,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,PatMic1,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
GM-CSF,Decrease,PatMic1,Immune cell amplification,cell population proliferation
GM-CSF,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,PatMic1,Immune cell positioning,positive regulation of cell migration
GM-CSF,Decrease,PatMic1,Tissue construction / repair,epithelial fluid transport
GM-CSF,Decrease,PatMic1,Resolution,negative regulation of DNA-templated transcription
GM-CSF,Decrease,PatMic1,Immune cell amplification,positive regulation of leukocyte proliferation
GM-CSF,Decrease,PatMic1,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IFN-A,Decrease,PatMic1,Immune cell activation,T cell activation involved in immune response
IFN-A,Decrease,PatMic1,Immune cell activation,B cell activation involved in immune response
IFN-A,Decrease,PatMic1,Immune cell activation,natural killer cell activation involved in immune response
IFN-y,Decrease,PatMic1,Resolution,negative regulation of transcription by RNA polymerase II
IFN-y,Decrease,PatMic1,Immune cell activation,microglial cell activation
IFN-y,Decrease,PatMic1,Immune cell activation,positive regulation of cytokine production
IFN-y,Decrease,PatMic1,Immune cell activation,macrophage activation involved in immune response
IFN-y,Decrease,PatMic1,Tissue destruction,apoptotic process
IFN-y,Decrease,PatMic1,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IFN-y,Decrease,PatMic1,Immune cell amplification,positive regulation of cell population proliferation
IFN-y,Decrease,PatMic1,Resolution,negative regulation of gene expression
IFN-y,Decrease,PatMic1,Immune cell positioning,positive regulation of epithelial cell migration
IFN-y,Decrease,PatMic1,Resolution,negative regulation of epithelial cell differentiation
IFN-y,Decrease,PatMic1,Resolution,negative regulation of interleukin-17 production
IFN-y,Decrease,PatMic1,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IFN-y,Decrease,PatMic1,Bone remodeling,positive regulation of osteoclast differentiation
IFN-y,Decrease,PatMic1,Resolution,negative regulation of DNA-templated transcription
IFN-y,Decrease,PatMic1,Immune cell activation,astrocyte activation
IFN-y,Decrease,PatMic1,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IFN-y,Decrease,PatMic1,Tissue destruction,extrinsic apoptotic signaling pathway
IFN-y,Decrease,PatMic1,Resolution,negative regulation of amyloid-beta clearance
GRO,Decrease,PatMic1,Immune cell positioning,chemotaxis
GRO,Decrease,PatMic1,Immune cell amplification,negative regulation of cell population proliferation
IL-10,Decrease,PatMic1,Immune cell activation,negative regulation of cytokine production
IL-10,Decrease,PatMic1,Immune cell activation,positive regulation of cytokine production
IL-10,Decrease,PatMic1,Immune cell amplification,positive regulation of endothelial cell proliferation
IL-10,Decrease,PatMic1,Immune cell activation,negative regulation of cytokine production involved in immune response
IL-10,Decrease,PatMic1,Resolution,negative regulation of chronic inflammatory response to antigenic stimulus
IL-10,Decrease,PatMic1,Tissue destruction,positive regulation of B cell apoptotic process
IL-10,Decrease,PatMic1,Immune cell amplification,negative regulation of cell population proliferation
IL-10,Decrease,PatMic1,Resolution,negative regulation of autophagy
IL-10,Decrease,PatMic1,Immune cell positioning,leukocyte chemotaxis
IL-10,Decrease,PatMic1,Immune cell activation,negative regulation of myeloid dendritic cell activation
IL-10,Decrease,PatMic1,Immune cell amplification,negative regulation of B cell proliferation
IL-10,Decrease,PatMic1,Resolution,negative regulation of interferon-alpha production
IL-10,Decrease,PatMic1,Resolution,negative regulation of type II interferon production
IL-10,Decrease,PatMic1,Resolution,negative regulation of interleukin-1 production
IL-10,Decrease,PatMic1,Resolution,negative regulation of interleukin-12 production
IL-10,Decrease,PatMic1,Resolution,negative regulation of interleukin-18 production
IL-10,Decrease,PatMic1,Resolution,negative regulation of interleukin-6 production
IL-10,Decrease,PatMic1,Resolution,negative regulation of interleukin-8 production
IL-10,Decrease,PatMic1,Resolution,negative regulation of tumor necrosis factor production
IL-10,Decrease,PatMic1,Resolution,negative regulation of heterotypic cell-cell adhesion
IL-10,Decrease,PatMic1,Immune cell amplification,B cell proliferation
IL-10,Decrease,PatMic1,Immune cell amplification,negative regulation of T cell proliferation
IL-10,Decrease,PatMic1,Immune cell activation,positive regulation of macrophage activation
